Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9944638220979336,0.006367847371770243,0.009817295409425825,0.003557315484438111,32.8092957417693,0.9277220781265744
2,1.0000000022643702,0.0022174294493622205,9.906212723358468e-09,1.2183203134319683e-08,32.62260050803662,0.930523320493244
3,0.9999974093107702,0.001443965130215794,0.5885576596127672,0.5887126376914206,25.8538075292562,0.8988701621312943
4,1.0,0.0008303264296964037,1.0,1.0,32.9629234929994,0.9369240523141528
5,1.0,0.0007753218186934886,1.0,1.0,29.92603158752165,0.9205368249756949
6,1.0,0.0009175929010625435,1.0,1.0,34.534571634826264,0.9436616006730095
7,1.0,0.0007183388857063605,1.0,1.0,33.57945170746883,0.9377348760953025
8,1.0,0.0007411388594456224,1.0,1.0,33.274613088400066,0.9399583197018457
9,1.0,0.0007052080928636266,1.0,1.0,34.706023343930724,0.944535740708548
10,1.0,0.0007306878767693249,1.0,1.0,34.31705670999307,0.9417494030982729
11,1.0,0.0006153292468283186,1.0,1.0,34.982993448727505,0.9468050804970757
12,1.0,0.0009057573828476812,1.0,1.0,32.877022207679076,0.9346960507498847
13,1.0,0.0006721409226671928,1.0,1.0,33.5637565844747,0.9389937127204169
14,1.0,0.0005847906356891248,1.0,1.0,35.253739416652934,0.9484510391477554
15,1.0,0.0009069500832872821,1.0,1.0,31.24539327587145,0.9267655435062591
16,1.0,0.0005775576424133953,1.0,1.0,33.03097718965162,0.9416223548329066
17,1.0,0.0006115233463431774,1.0,1.0,34.72366680636596,0.9471601282604157
18,1.0,0.0006210652242773624,1.0,1.0,34.30113967842491,0.9428275838352385
19,1.0,0.0005541994616710126,1.0,1.0,34.761625440529535,0.9496192337217785
20,1.0,0.0005563621196215933,1.0,1.0,33.97207834655685,0.9448949408152747
21,1.0,0.0006248492522506925,1.0,1.0,35.333257507401484,0.949512998565795
22,1.0,0.0007193479294581431,1.0,1.0,35.077330319973264,0.9481245350080824
23,1.0,0.0005740520527307256,1.0,1.0,35.03945710224807,0.9488765997735281
24,1.0,0.0006429321208757362,1.0,1.0,34.69475936287515,0.9480811208013504
25,1.0,0.0006007585812033485,1.0,1.0,33.71826952145136,0.944730976119874
26,1.0,0.0006419070145538049,1.0,1.0,35.39043277616182,0.9491763921767946
27,1.0,0.0005645049182275842,1.0,1.0,35.716869716756165,0.9497302794834924
28,1.0,0.0005437357474188493,1.0,1.0,34.63017642049701,0.9460672785365393
29,1.0,0.0005053104980970098,1.0,1.0,32.940709405657,0.9406078358680483
30,1.0,0.0005866694463090014,1.0,1.0,35.67539943488189,0.9507177344957988
31,1.0,0.0007184134274924624,1.0,1.0,33.98544969885796,0.9421217656135559
32,1.0,0.0006294892032164732,1.0,1.0,35.13139469886863,0.94773678321687
33,1.0,0.00067915618193272,1.0,1.0,34.7943784091275,0.9479187605116103
34,1.0,0.0006367753628803005,1.0,1.0,35.192625012059864,0.9506099705469041
35,1.0,0.0008324208772283994,1.0,1.0,35.36493186728249,0.9505793071550036
36,1.0,0.0006492042965581126,1.0,1.0,34.78429693212377,0.9480347114896017
37,1.0,0.0005430559536814538,1.0,1.0,30.7633776027913,0.9326896894545782
38,1.0,0.0007424669149893975,1.0,1.0,35.42537382414116,0.9486907764843532
39,1.0,0.0004674624289785153,1.0,1.0,35.395295187287445,0.9505729449362982
40,1.0,0.0005849729793343002,1.0,1.0,36.119110604592855,0.9541128764076838
41,1.0,0.0014238088922998375,1.0,1.0,34.29874846333967,0.9451443423165216
42,1.0,0.0005883974077105087,1.0,1.0,35.042475303968565,0.948968175138746
43,1.0,0.0006496881226101417,1.0,1.0,35.23272919731244,0.9484974228011237
44,1.0,0.000608006938655509,1.0,1.0,35.41294792200935,0.9508330955581059
45,1.0,0.0005347930108166528,1.0,1.0,35.26415258140102,0.949691965996273
46,1.0,0.0005594574973730563,1.0,1.0,34.80879049927238,0.9492260515500629
47,1.0,0.0005974324591441877,1.0,1.0,35.02541302794401,0.949816956595769
48,1.0,0.0006436554321052838,1.0,1.0,35.57342047342584,0.9501513873584687
49,1.0,0.0005726802152571053,1.0,1.0,34.57803568652215,0.9453506037545583
50,1.0,0.0004766733471590019,1.0,1.0,35.78716864317817,0.9521529490985567
