Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9985022080817865,0.03402192337720875,0.0025936097058973685,0.0010958176861426696,20.01479001056645,0.47214661836624144
2,1.0,0.030739815505871983,0.0,0.0,22.763921645135774,0.6171648144721985
3,1.0,0.030091288313904247,0.0,0.0,22.561871819889255,0.5740983128547669
4,1.0,0.02972186947625378,0.0,0.0,25.4814831162573,0.725249993801117
5,1.0,0.030520753982576844,0.0,0.0,24.23085450553411,0.712596321105957
6,1.0,0.029615674237681005,0.0,0.0,26.13467495873653,0.7492466807365418
7,1.0,0.02935863471569357,0.0,0.0,26.08398342661139,0.751377534866333
8,1.0,0.029693272129792777,0.0,0.0,24.971996593023512,0.74087153673172
9,1.0,0.029520810383421192,0.0,0.0,25.972510296907558,0.7499792218208313
10,1.0,0.02931207282313192,0.0,0.0,25.939738986168486,0.7546151280403137
11,1.0,0.029352478867038144,0.0,0.0,25.217595208888607,0.7234853386878968
12,1.0,0.030562740476132454,0.0,0.0,25.41673303963991,0.7356430768966675
13,1.0,0.029397628100325545,0.0,0.0,25.61028919649513,0.7495291233062744
14,1.0,0.029484284143685483,0.0,0.0,26.1451822892492,0.7548497319221497
15,1.0,0.029269547349245015,0.0,0.0,26.066423566588696,0.7557417988777161
16,1.0,0.029451587673727252,0.0,0.0,26.204611077424072,0.7568375587463378
17,1.0,0.029205608659216047,0.0,0.0,26.08072464390385,0.7565927267074585
18,1.0,0.029296905678114656,0.0,0.0,26.298674785193995,0.7540678381919861
19,1.0,0.029375998277908898,0.0,0.0,26.006392348247203,0.7588029503822327
20,1.0,0.02948402206284935,0.0,0.0,26.423409330706008,0.7608097672462464
21,1.0,0.02916964068310732,0.0,0.0,26.277373303142628,0.7606378793716431
22,1.0,0.02945720841648022,0.0,0.0,25.448958709301962,0.7396964430809021
23,1.0,0.02942171054725651,0.0,0.0,25.690178451635134,0.7573616147041321
24,1.0,0.029299429149781012,0.0,0.0,23.246791601780778,0.6704985618591308
25,1.0,0.029272794155515033,0.0,0.0,25.900030554219533,0.7556825995445251
26,1.0,0.029214049475283395,0.0,0.0,26.204766378463567,0.7659297704696655
27,1.0,0.029208053975941985,0.0,0.0,26.441716018355656,0.7643142700195312
28,1.0,0.02927520128008251,0.0,0.0,26.132332772625688,0.7512123823165894
29,1.0,0.029278809487108884,0.0,0.0,26.232075395013943,0.7593326210975647
30,1.0,0.029312130111369607,0.0,0.0,25.978124445127264,0.7516166806221009
31,1.0,0.03107594120200387,0.0,2.985812991655656e-15,21.73542813285357,0.6049679756164551
32,1.0,0.02988114629696033,0.0,2.708078493330937e-25,25.78609379565617,0.7359672546386719
33,1.0,0.0293172670613968,0.0,5.201766952359756e-41,26.35405966896622,0.7491383910179138
34,1.0,0.029203134723756546,0.0,0.0,24.57721484507584,0.7449482679367065
35,1.0,0.02925733391201882,0.0,0.0,26.516843962213308,0.7581549167633057
36,1.0,0.02923356416100538,0.0,0.0,26.23464166701098,0.7562708258628845
37,1.0,0.02928788033734493,0.0,0.0,26.486714039644408,0.7591050267219543
38,1.0,0.029195201838646066,0.0,0.0,26.726501260222463,0.7646284818649292
39,1.0,0.02915892015755481,0.0,0.0,26.76021955321196,0.7660258293151856
40,1.0,0.029192613507581327,0.0,0.0,24.71220690946124,0.7478627443313599
41,1.0,0.029223370472099348,0.0,0.0,26.15907304234941,0.75776207447052
42,1.0,0.02924381221566838,0.0,0.0,24.04201805814134,0.7492179036140442
43,1.0,0.029367910336315937,0.0,8.308957473687239e-23,24.55879547690921,0.7537793278694153
44,1.0,0.02920972902384893,0.0,0.0,26.700461816728822,0.7614944577217102
45,1.0,0.029152886507306026,0.0,0.0,26.79284079389058,0.7662686586380005
46,1.0,0.029192452241223958,0.0,0.0,26.6520296968123,0.7584319949150086
47,1.0,0.029153011815409847,0.0,0.0,26.813154236756375,0.7653538465499878
48,1.0,0.029357923394675148,0.0,0.0,26.050304483525597,0.7606330633163452
49,1.0,0.02914385385557476,0.0,0.0,26.869826885720812,0.7668411731719971
50,1.0,0.029146766597865185,0.0,0.0,20.91926425575226,0.7039945960044861
