Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9962198966336828,0.07284495696165166,0.9936744795503533,0.9888222371714089,11.09367832043099,0.005615151261851665
2,1.0000000004279126,0.08413287571174591,0.9999999995720875,1.0,11.08338689468362,0.00542391086706803
3,1.0000000002139562,0.08412514336252325,0.9999999997860437,1.0,11.08338689468362,0.00542391085969506
4,1.0000000000178297,0.08412514356799994,0.9999999999821703,1.0,11.08338689468362,0.00542391085969506
5,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
6,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
7,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
8,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
9,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
10,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
11,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
12,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
13,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
14,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
15,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
16,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
17,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
18,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
19,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
20,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
21,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
22,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
23,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
24,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
25,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
26,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
27,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
28,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
29,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
30,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
31,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
32,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
33,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
34,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
35,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
36,1.0,0.08412514356799994,1.0,1.0,11.08338689468362,0.00542391085969506
